District,Total population,Median age (years),18 years and over,65 years and over,One race,White,Black or African American,Asian,Some other race,Two or more races,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,Native,Born in United States,Born in Virginia,Born Outside of Virgina,Foreign born,Median household income (dollars),Mean household income (dollars)
VA-01,813878,38.6,619403,123912,779581,586080,132600,27329,30862,34297,97345,20761,13455,2343,60786,716533,738726,720234,412086,308148,75152,90234,108542
VA-02,743410,36.2,585280,112245,706976,491633,149840,44229,18438,36434,63771,22250,16801,1879,22841,679639,676387,655900,308526,347374,67023,71088,93247
VA-03,744804,34.9,577378,100426,711396,330195,340644,22057,15163,33408,47779,16496,12493,2426,16364,697025,701997,686250,410147,276103,42807,53533,72457
VA-04,747291,38.7,596774,115128,724861,395229,306710,13221,7770,22430,43787,13393,9658,1551,19185,703504,706895,696745,463037,233708,40396,60160,79721
VA-05,739410,42.8,594390,150340,714747,554054,140674,14640,3402,24663,25036,9965,2661,700,11710,714374,707762,701352,477622,223730,31648,55491,79396
VA-06,755437,39.9,603009,141158,732326,624793,86070,12942,6810,23111,44633,16840,8114,2857,16822,710804,713502,703990,481115,222875,41935,52925,71781
VA-07,812385,39.3,622337,128234,780305,563699,155347,40821,18065,32080,60656,14429,10727,1499,34001,751729,734712,723371,460657,262714,77673,78060,100388
VA-08,795467,36.2,629953,96724,757054,503803,121753,91310,37495,38413,141997,18712,10247,2074,110964,653470,570896,549827,194555,355272,224571,110606,142690
VA-09,704831,43.5,576130,145820,694577,640740,36880,11649,3036,10254,14305,6674,2549,859,4223,690526,689571,685036,469227,215809,15260,41520,56952
VA-10,862308,38.4,634862,108403,818266,592714,57551,138104,27634,44042,117246,19479,7882,2243,87642,745062,668976,650352,308904,341448,193332,127220,163632
VA-11,798464,36.7,608529,95835,748092,454640,103443,139120,47068,50372,156255,14360,12299,2012,127584,642209,543185,517179,232423,284756,255279,111279,138494
