Democrat Strength Rating,State,State Abbreviation,CD#,2018 Cook PVI Score,2018 Winner,Party,flipped_seat,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance,Hold/ Flip,Clinton Vote Share,Trump Vote Share,Obama 2012,Romney 2012,Obama 2008,McCain 2008,2016-2012,2016-2008,2012-2008,City Lab Congressional Index,,Type of District,dense_suburban,pure_urban,pure_urban,rural_suburban_mix,sparse_suburban,urban_suburban_mix,flipped_seat,,,,,
337,Florida,FL,25,-4,Mario Diaz-Balart,R,,"84,173","128,672",0,39.50%,60.50%,0.00%,-20.90%,-1.90%,-19.00%,"263,235",80.90%,x,Romney,Trump,Likely R,16.9,R Hold,47.9,49.7,44.9,54.5,40.6,58.8,3,7.3,4.3,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
412,Utah,UT,3,-25,John Curtis,R,,"70,686","174,856","13,316",27.30%,67.50%,5.10%,-40.20%,-23.90%,-16.30%,"289,925",89.30%,x,Romney,Trump,Solid R,15.2,R Hold,23.3,47.2,19.5,78.3,29.5,67.5,3.8,6.2,10,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
234,California,CA,21,5,T.J. Cox,D,1,"57,239","56,377",0,50.40%,49.60%,0.00%,0.80%,15.40%,-14.60%,"134,881",84.20%,x,Obama ,Clinton,Likely R,4.2,D Flip,55.2,39.7,54.6,43.5,52,46,0.6,3.2,2.6,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
228,Florida,FL,26,6,Debbie Mucarsel-Powell,D,1,"119,797","115,678",0,50.90%,49.10%,0.00%,1.70%,16.30%,-14.60%,"289,209",81.40%,x,Obama ,Clinton,Toss Up,4.3,D Flip,56.8,40.5,55.4,43.9,51.5,47.9,1.4,5.3,3.9,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
210,Florida,FL,27,5,Donna Shalala,D,1,"130,743","115,588","6,255",51.80%,45.80%,2.50%,6.00%,19.70%,-13.70%,"299,037",84.50%,x,Obama ,Clinton,Likely D,1,D Flip,58.5,38.9,53,46.3,50.1,49.3,5.5,8.4,2.9,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
362,Wisconsin,WI,8,-7,Mike Gallagher,R,,"119,265","209,410",0,36.30%,63.70%,0.00%,-27.40%,-17.40%,-10.00%,"372,434",88.30%,x,Romney,Trump,Solid R,20.4,R Hold,38.6,56.2,47.6,51.3,53.7,45,9,15.1,6.1,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
402,Utah,UT,1,-26,Rob Bishop,R,,"63,308","156,692","34,333",24.90%,61.60%,13.50%,-36.70%,-27.40%,-9.30%,"280,453",90.70%,x,Romney,Trump,Solid R,10.7,R Hold,22.4,49.7,20.4,77.4,29.4,67.7,2,7,9,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
261,New York,NY,24,3,John Katko,R,,"123,226","136,920",0,47.40%,52.60%,0.00%,-5.30%,3.60%,-8.90%,"310,431",83.80%,x,Obama ,Clinton,Likely R,8.3,R Hold,48.9,45.3,57,41.1,56,42,8.1,7.1,1,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
401,Louisiana,LA,5,-15,Ralph Abraham,R,,"67,118","149,018","7,810",30.00%,66.50%,3.50%,-36.60%,-29.40%,-7.20%,"323,222",69.30%,x,Romney,Trump,Solid R,21.6,R Hold,34.1,63.5,37.7,61,36.7,62,3.6,2.6,1,Pure rural,,0,0,1,0,0,0,0,,,,,,
391,Illinois,IL,18,-15,Darin LaHood,R,,"95,486","195,927",0,32.80%,67.20%,0.00%,-34.50%,-27.30%,-7.20%,"345,450",84.40%,x,Romney,Trump,Solid R,19.5,R Hold,33.3,60.6,37.4,60.7,44.1,54.4,4.1,10.8,6.7,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
413,Louisiana,LA,6,-19,Garret Graves,R,,"76,716","186,553","5,256",28.60%,69.50%,2.00%,-40.90%,-34.10%,-6.80%,"353,229",76.00%,x,Romney,Trump,Solid R,21.9,R Hold,31,64.8,32,66.1,30.9,67.5,1,0.1,1.1,Rural-suburban mix,,0,0,0,0,0,0,0,,,,,,
97,California,CA,51,22,Juan Vargas,D,,"109,527","44,301",0,71.20%,28.80%,0.00%,42.40%,49.00%,-6.60%,"205,852",74.70%,x,Obama ,Clinton,Solid D,20.4,D Hold,71.8,22.8,69.4,28.9,65,32,2.4,6.8,4.4,Urban-suburban mix,,0,0,0,0,0,0,0,,,,,,
377,Louisiana,LA,4,-13,Mike Johnson,R,,"72,934","139,326","4,612",33.60%,64.20%,2.10%,-30.60%,-24.00%,-6.60%,"318,392",68.10%,x,Romney,Trump,Solid R,17.6,R Hold,36.6,60.6,39.7,59,39.9,58.9,3.1,3.3,0.2,Pure rural,,0,0,1,0,0,0,0,,,,,,
307,Ohio,OH,10,-4,Mike Turner,R,,"118,785","157,554","5,387",42.20%,55.90%,1.90%,-13.80%,-7.20%,-6.60%,"350,299",80.40%,x,Romney,Trump,Likely R,9.8,R Hold,44,51.3,48.2,50.1,49.3,49.3,4.2,5.3,1.1,Sparse suburban,,0,0,0,0,0,0,0,,,,,,
65,California,CA,43,29,Maxine Waters,D,,"152,272","43,780",0,77.70%,22.30%,0.00%,55.30%,61.70%,-6.40%,"234,060",83.80%,x,Obama ,Clinton,Solid D,26.3,D Hold,78.4,16.7,78,20,75,22,0.4,3.4,3,Pure urban,,0,0,0,0,0,0,0,,,,,,
180,California,CA,16,9,Jim Costa,D,,"82,266","60,693",0,57.50%,42.50%,0.00%,15.10%,21.30%,-6.20%,"172,088",83.10%,x,Obama ,Clinton,Solid D,6.1,D Hold,58,36.4,58.6,39.4,57,40,0.6,1,1.6,Dense suburban,,1,1,0,0,0,0,0,,,,,,
363,California,CA,23,-14,Kevin McCarthy,R,,"74,661","131,113",0,36.30%,63.70%,0.00%,-27.40%,-21.90%,-5.50%,"246,632",83.40%,x,Romney,Trump,Solid R,13.4,R Hold,36.1,58.1,36.1,61.5,36,61,0,0.1,0.1,Dense suburban,,1,1,0,0,0,0,0,,,,,,
