Democrat Strength Rating,State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance
432,Texas,13,-33,Mac Thornberry,R,"35,083","169,027","3,175",16.90%,81.50%,1.50%,-64.60%,-62.80%,-1.80%,"239,860",86.40%,x,Romney,Trump,Solid R,
431,Texas,11,-32,Mike Conaway,R,"40,631","176,603","3,143",18.40%,80.10%,1.40%,-61.70%,-58.50%,-3.20%,"249,682",88.30%,x,Romney,Trump,Solid R,
428,Kentucky,5,-31,Hal Rogers,R,"45,890","172,093",34,21.00%,78.90%,0.00%,-57.90%,-62.10%,4.20%,"278,451",78.30%,x,Romney,Trump,Solid R,
429,Georgia,9,-31,Doug Collins,R,"57,912","224,661",5,20.50%,79.50%,0.00%,-59.00%,-58.50%,-0.50%,"297,215",95.10%,x,Romney,Trump,Solid R,
430,Alabama,4,-30,Robert Aderholt,R,"46,492","184,255",222,20.10%,79.80%,0.10%,-59.60%,-62.50%,2.90%,"292,861",78.90%,x,Romney,Trump,Solid R,
427,Tennessee,1,-28,Phil Roe,R,"47,138","172,835","4,309",21.00%,77.10%,1.90%,-56.00%,-56.80%,0.80%,"266,419",84.20%,x,Romney,Trump,Solid R,
424,Texas,4,-28,John Ratcliffe,R,"57,400","188,667","3,178",23.00%,75.70%,1.30%,-52.70%,-53.20%,0.50%,"281,123",88.70%,x,Romney,Trump,Solid R,
422,Texas,8,-28,Kevin Brady,R,"67,930","200,619","4,621",24.90%,73.40%,1.70%,-48.60%,-48.30%,-0.30%,"298,315",91.60%,x,Romney,Trump,Solid R,
420,Oklahoma,3,-27,Frank Lucas,R,"61,152","172,913",0,26.10%,73.90%,0.00%,-47.70%,-52.80%,5.10%,"293,417",79.80%,x,Romney,Trump,Solid R,
426,Nebraska,3,-27,Adrian Smith,R,"49,654","163,650",0,23.30%,76.70%,0.00%,-53.40%,-54.20%,0.80%,"270,185",78.90%,x,Romney,Trump,Solid R,
425,Georgia,14,-27,Tom Graves,R,"53,981","175,743",0,23.50%,76.50%,0.00%,-53.00%,-52.90%,-0.10%,"255,872",89.80%,x,Romney,Trump,Solid R,
423,Texas,19,-27,Jodey Arrington,R,"50,039","151,946",0,24.80%,75.20%,0.00%,-50.50%,-48.70%,-1.80%,"229,585",88.00%,x,Romney,Trump,Solid R,
409,Alabama,6,-26,Gary Palmer,R,"85,644","192,542",142,30.80%,69.20%,0.10%,-38.40%,-43.80%,5.40%,"335,943",82.80%,x,Romney,Trump,Solid R,
418,Texas,36,-26,Brian Babin,R,"60,908","161,048",0,27.40%,72.60%,0.00%,-45.10%,-46.50%,1.40%,"255,510",86.90%,x,Romney,Trump,Solid R,
402,Utah,1,-26,Rob Bishop,R,"63,308","156,692","34,333",24.90%,61.60%,13.50%,-36.70%,-27.40%,-9.30%,"280,453",90.70%,x,Romney,Trump,Solid R,
389,Wyoming,AL,-25,Liz Cheney,R,"59,903","127,963","13,379",29.80%,63.60%,6.60%,-33.80%,-46.30%,12.50%,"255,849",78.70%,x,Romney,Trump,Solid R,
419,Texas,1,-25,Louie Gohmert,R,"61,263","168,165","3,292",26.30%,72.30%,1.40%,-45.90%,-46.60%,0.70%,"264,551",88.00%,x,Romney,Trump,Solid R,
412,Utah,3,-25,John Curtis,R,"70,686","174,856","13,316",27.30%,67.50%,5.10%,-40.20%,-23.90%,-16.30%,"289,925",89.30%,x,Romney,Trump,Solid R,
395,Oklahoma,2,-24,Markwayne Mullin,R,"65,021","140,451","10,530",30.10%,65.00%,4.90%,-34.90%,-50.10%,15.20%,"271,844",79.50%,x,Romney,Trump,Solid R,
400,Kansas,1,-24,Roger Marshall,R,"71,558","153,082",0,31.90%,68.10%,0.00%,-36.30%,-44.80%,8.50%,"265,883",84.50%,x,Romney,Trump,Solid R,
415,Tennessee,6,-24,John Rose,R,"70,370","172,810","5,560",28.30%,69.50%,2.20%,-41.20%,-48.80%,7.60%,"299,210",83.10%,x,Romney,Trump,Solid R,
421,Missouri,8,-24,Jason Smith,R,"66,151","194,042","4,206",25.00%,73.40%,1.60%,-48.40%,-54.20%,5.80%,"318,514",83.00%,x,Romney,Trump,Solid R,
417,Louisiana,1,-24,Steve Scalise,R,"71,521","192,555","5,249",26.60%,71.50%,1.90%,-44.90%,-42.20%,-2.70%,"354,783",75.90%,x,Romney,Trump,Solid R,
300,West Virginia,3,-23,Carol Miller,R,"76,340","98,645",0,43.60%,56.40%,0.00%,-12.70%,-49.30%,36.60%,"218,890",79.90%,x,Romney,Trump,Solid R,
404,Kentucky,1,-23,James Comer,R,"78,849","172,167",0,31.40%,68.60%,0.00%,-37.20%,-48.50%,11.30%,"310,384",80.90%,x,Romney,Trump,Solid R,
399,Missouri,7,-23,Billy Long,R,"89,190","196,343","10,922",30.10%,66.20%,3.70%,-36.10%,-45.50%,9.40%,"343,078",86.40%,x,Romney,Trump,Solid R,
390,Florida,1,-22,Matt Gaetz,R,"106,199","216,189",0,32.90%,67.10%,0.00%,-34.10%,-39.30%,5.20%,"380,098",84.80%,x,Romney,Trump,Solid R,
414,Pennsylvania,13,-22,John Joyce,R,"74,733","178,533",0,29.50%,70.50%,0.00%,-41.00%,-45.50%,4.50%,"319,516",79.30%,x,Romney,Trump,Sold R,
