,CD_ID,State,CD,2020_dem_pct,2020_GOP_pct,Dem_2018_Vote_Share,GOP_2018_Vote_Share,2016_dem_vote_pct,2016_GOP_vote_pct,2018_Cook_PVI_Score,white_pct_pop,black_pct_pop,hispanic_pct_pop,asian_pct_pop,other_race_pct_pop,white_non_college_pct_pop,white_ba_pct_pop,black_non_college_pct_dis,black_ba_pct_dis,hispanic_non_college_pct_pop,hispanic_ba_pct_pop,asian_non_college_pct_pop,asian_ba_pct_pop,2020_dem_margin,City_Lab_Congressional_Index_Dense suburban,City_Lab_Congressional_Index_Pure rural,City_Lab_Congressional_Index_Pure urban,City_Lab_Congressional_Index_Rural-suburban mix,City_Lab_Congressional_Index_Sparse suburban,City_Lab_Congressional_Index_Urban-suburban mix
0,AK-AL,AK,AL,45.3,54.4,46.5,53.1,36.5,50.5,-9,65.47107991,3.270682439,5.859834978,6.387251115,19.01115156,41.45474303,24.01633689,2.542050746,0.7286316929,4.694478761,1.165356218,4.562056613,1.825194501,-9.100000000000001,0,1,0,0,0,0
1,AL-1,AL,1,35.5,64.4,36.8,63.2,0.0,96.4,-15,68.22604805,25.74023429,2.625407114,0.0,3.408310543,49.32090808,18.90513997,21.24561763,4.49461666,2.086069178,0.5393379356,0.0,0.0,-28.900000000000006,0,0,0,1,0,0
2,AL-2,AL,2,34.7,65.2,38.4,61.4,45.4,54.6,-16,64.16768924,30.26019923,2.618440103,1.374253629,1.579417793,47.54549645,16.62219279,25.09040858,5.169790659,2.12955208,0.4888880232,0.7148283049,0.6594253239,-30.5,0,1,0,0,0,0
3,AL-3,AL,3,32.5,67.5,36.2,63.7,32.9,67.1,-16,69.61086315,25.19419803,1.957310386,1.986941661,1.250686767,52.17368043,17.43718272,20.63077578,4.563422248,1.658322582,0.2989878038,0.6461264309,1.34081523,-35.0,0,1,0,0,0,0
4,AL-4,AL,4,17.7,82.2,20.1,79.8,0.0,98.5,-30,86.39160787,6.973183438,4.547201577,0.0,2.088007119,70.58617103,15.80543684,6.345695104,0.6274883338,4.121077676,0.4261239018,0.0,0.0,-64.5,0,1,0,0,0,0
5,AL-5,AL,5,0.0,95.8,38.9,61.0,33.2,66.8,-18,75.64462423,16.76455441,3.539487288,0.0,4.051334065,49.63989889,26.00472534,11.87901232,4.885542098,2.773879303,0.7656079851,0.0,0.0,-95.8,0,0,0,1,0,0
6,AL-6,AL,6,0.0,97.1,30.8,69.2,25.2,74.8,-26,78.22796119,15.41698058,3.495662842,1.659317994,1.200077398,46.54591788,31.6820433,10.77949453,4.637486054,2.837781648,0.6578811944,0.6671442275,0.9921737663,-97.1,0,0,0,1,0,0
7,AL-7,AL,7,97.2,0.0,97.8,0.0,98.4,0.0,20,33.29944908,61.59658374,2.85921092,0.0,2.24475626,23.27439893,10.02505015,51.26612149,10.33046225,2.507510506,0.3517004148,0.0,0.0,97.2,0,0,0,1,0,0
8,AR-1,AR,1,0.0,100.0,28.8,68.9,0.0,76.5,-17,78.14550176,15.99918547,2.971003681,0.0,2.884309084,64.34775421,13.79774755,14.53969201,1.459493462,2.614346141,0.3566575402,0.0,0.0,-100.0,0,1,0,0,0,0
9,AR-2,AR,2,44.6,55.4,45.8,52.1,36.8,58.4,-7,71.74922511,21.47138606,3.933279933,0.0,2.846108899,49.43484133,22.31438378,16.18160922,5.289776839,3.411461054,0.5218188784,0.0,0.0,-10.799999999999997,0,0,0,1,0,0
