,State,First_Name,Last_Name,State_Abbr,Party,Gender,DW_Nomininate_Score,Votes_with_Party_Pct,Votes_against_party_pct,Missed_votes_pct,Total_votes,Ranking,Next_election,Seniority,in_office,Senator,merge_id,election_year,previous_vote_share,years_served,inc_running,2020_pres_can,past_pres-can,votes_trump_era,trump_agree_pct,predicted_trump_agree,net_trump_vote_2016,fb_status_inaguration,fb_reform_status_now,Link to Source
3,Alabama,Richard,Shelby,AL,R,M,0.442,90.82,9.18,3.35,448,senior,2022,35,True,Richard Shelby,Shelby-AL,2022,63.9,36,1,0,0,129,90.6976744,85.54755,27.72514661,No,No,No Senate R’s support filibuster reform at this time
2,Alabama,Tommy,Tuberville,AL,R,M,0.0,88.94,11.06,1.34,448,junior,2026,1,True,Tommy Tuberville,Tuberville-AL,2026,60.1,6,1,0,0,2,100.0,12.263022,27.72514661,No,No,No Senate R’s support filibuster reform at this time
1,Alaska,Lisa,Murkowski,AK,R,F,0.211,62.32,37.68,4.24,448,senior,2022,21,True,Lisa Murkowski,Murkowski-AK,2022,44.3,20,1,0,0,124,72.5806452,74.500794,14.73064079,No,No,No Senate R’s support filibuster reform at this time
0,Alaska,Dan,Sullivan,AK,R,M,0.467,87.28,12.72,8.71,448,junior,2026,7,True,Dan Sullivan,Sullivan-AK,2026,53.9,12,1,0,0,123,88.6178862,74.420321,14.73064079,No,No,No Senate R’s support filibuster reform at this time
6,Arizona,Mark,Kelly,AZ,D,M,0.0,97.53,2.47,0.45,448,junior,2022,1,True,Mark Kelly,Kelly-AZ,2022,51.2,2,1,0,0,5,20.0,26.232958,3.54559463,Maybe,Maybe,https://twitter.com/sahilkapur/status/1403025661950935041?s=20
7,Arizona,Kyrsten,Sinema,AZ,D,F,-0.103,97.04,2.96,2.01,448,senior,2024,3,True,Kyrsten Sinema,Sinema-AZ,2024,50.0,6,1,0,0,135,50.3703704,39.805773,3.54559463,No,No,https://www.washingtonpost.com/powerpost/senate-gridlock-threatens-biden-agenda/2021/01/23/6119e512-5cf3-11eb-b8bd-ee36b1cd18bf_story.html
5,Arkansas,John,Boozman,AR,R,M,0.414,96.82,3.18,0.0,448,senior,2022,11,True,John Boozman,Boozman-AR,2022,59.8,12,1,0,0,129,91.47286820000001,85.128633,26.92097803,No,No,No Senate R’s support filibuster reform at this time
4,Arkansas,Tom,Cotton,AR,R,M,0.609,91.08,8.92,0.67,448,junior,2026,7,True,Tom Cotton,Cotton-AR,2026,66.5,12,1,0,0,129,86.8217054,85.128633,26.92097803,No,No,No Senate R’s support filibuster reform at this time
8,California,Dianne,Feinstein,CA,D,F,-0.268,99.49,0.51,12.95,448,senior,2024,29,True,Dianne Feinstein,Feinstein-CA,2024,54.2,32,1,0,0,128,24.21875,20.05461,-30.10929307,Maybe,Maybe,https://twitter.com/ESCochrane/status/1373080548567048193?s=19
9,California,Alex,Padilla,CA,D,M,0.0,99.78,0.22,0.22,446,junior,2022,1,True,Alex Padilla,Padilla-CA,2022,64.45,2,1,1,0,0,0.0,20.05461,-30.10929307,Yes,Yes,https://www.newsweek.com/democrats-filibuster-abolish-15-minimum-wage-blow-1572279
10,Colorado,Michael,Bennet,CO,D,M,-0.228,98.66,1.34,0.22,448,senior,2022,13,True,Michael Bennet,Bennet-CO,2022,50.0,13,1,1,0,121,27.2727273,41.676567,-4.90558301,Maybe,Maybe,https://www.coloradopolitics.com/legislature/now-is-the-time-to-act-boulder-legislative-leaders-promise-response-to-shooting/article_f5e99bf8-8ce4-11eb-bba0-87d6128fb955.html
11,Colorado,John,Hickenlooper,CO,D,M,0.0,99.11,0.89,0.22,448,junior,2026,1,True,John Hickenlooper,Hickenlooper-CO,2026,53.5,6,1,1,1,2,0.0,3.01592,-4.90558301,Maybe,Maybe,https://cheddar.com/media/colorado-sen-hickenlooper-says-gop-should-support-universal-background-checks
13,Connecticut,Richard,Blumenthal,CT,D,M,-0.438,99.33,0.67,0.0,448,senior,2022,11,True,Richard Blumenthal,Blumenthal-CT,2022,63.2,12,1,0,0,128,20.3125,29.411808,-13.63938672,Yes,Yes,https://www.cnn.com/2021/01/21/politics/senate-filibuster-democrats-republicans-power-sharing/index.html
12,Connecticut,Christopher,Murphy,CT,D,M,-0.27,99.33,0.67,0.22,448,junior,2024,9,True,Christopher Murphy,Murphy-CT,2024,59.5,12,1,0,0,127,25.1968504,29.58906,-13.63938672,Yes,Yes,https://www.newsweek.com/democrats-filibuster-abolish-15-minimum-wage-blow-1572279
14,Delaware,Thomas,Carper,DE,D,M,-0.177,98.44,1.56,0.0,448,senior,2024,21,True,Thomas Carper,Carper-DE,2024,60.0,24,1,0,0,129,29.4573643,31.783029000000003,-11.43051247,Maybe,Maybe,https://www.delawarepublic.org/post/sen-carper-weighs-minimum-wage-dc-statehood-and-more
15,Delaware,Christopher,Coons,DE,D,M,-0.229,99.55,0.45,0.0,448,junior,2026,13,True,Christopher Coons,Coons-DE,2026,59.4,14,1,0,0,128,28.90625,31.935501,-11.43051247,Maybe,Maybe,https://twitter.com/AlexThomp/status/1352619879732535298
17,Florida,Marco,Rubio,FL,R,M,0.589,90.21,9.79,5.36,448,senior,2022,11,True,Marco Rubio,Rubio-FL,2022,52.0,12,1,0,1,126,88.09523809999999,51.790103,1.19862561,No,No,No Senate R’s support filibuster reform at this time
